book_id,title,author,genre,publication_year
1,Erik Jenkins,Amber Jennings,Robert Reed,9763
2,Katherine Fuller,Mary Bernard,Tina Nguyen,5918
3,Bill Ford,Travis Potter,Monique Gomez,8941
4,Brian White,Jasmine Delacruz,Willie Day,2485
5,Andrew Gibbs,Barbara Jefferson,Monica Harding,5964
6,Renee Johnson,Joseph Moreno,Jordan Johnson PhD,1792
7,Roger Ellis,Keith Garcia,Steven Watson,9320
8,Bryan Vance,Kelly Jones,Pamela Waller,2253
9,Timothy Hawkins,Lindsey Bishop,Richard Simon,6707
10,Justin Potts,Diane Larsen,Desiree Lee,3065
